user,timestamp,ip,resource,action,label
user_040,2025-07-01 13:25:53,22.82.98.1,wet_lab,write,0
user_015,2025-07-07 10:12:44,61.130.102.125,genome_db,write,0
user_043,2025-07-04 02:56:30,81.168.130.215,cloud_storage,read,0
user_027,2025-07-06 22:02:53,15.116.172.14,wet_lab,read,0
user_014,2025-07-02 11:48:51,93.159.170.21,cloud_storage,read,0
user_012,2025-07-07 16:41:10,206.238.218.116,cloud_storage,read,0
user_028,2025-07-05 02:39:24,154.138.117.180,compute_mode,delete,0
user_000,2025-07-03 21:48:23,153.233.63.231,genome_db,write,0
user_021,2025-07-05 09:53:17,156.133.139.113,genome_db,read,0
user_048,2025-07-02 07:56:23,173.218.37.85,wet_lab,read,0
user_006,2025-07-05 06:02:17,158.70.109.210,compute_mode,write,0
user_002,2025-07-06 23:47:01,81.168.130.215,sequencer,read,0
user_024,2025-07-06 23:19:25,31.17.178.38,cloud_storage,read,0
user_040,2025-07-06 17:42:29,184.21.239.21,compute_mode,read,0
user_045,2025-07-06 00:45:56,31.17.178.38,wet_lab,write,0
user_049,2025-07-01 12:54:05,171.66.107.163,wet_lab,delete,0
user_006,2025-07-05 15:59:06,147.71.111.117,compute_mode,read,0
user_023,2025-07-06 14:19:47,219.169.164.83,compute_mode,read,0
user_042,2025-07-02 21:17:38,156.133.139.113,wet_lab,write,0
user_010,2025-07-06 17:58:48,78.188.96.233,genome_db,read,0
user_024,2025-07-08 10:35:34,156.133.139.113,cloud_storage,read,0
user_020,2025-07-03 16:14:51,180.181.186.23,wet_lab,read,0
user_002,2025-07-01 01:56:12,75.16.35.114,compute_mode,read,0
user_004,2025-07-01 11:54:17,185.103.8.195,cloud_storage,delete,0
user_020,2025-07-07 01:39:36,185.103.8.195,sequencer,read,0
user_041,2025-07-06 02:28:28,132.17.40.122,genome_db,read,0
user_015,2025-07-08 08:46:44,81.168.130.215,cloud_storage,read,0
user_047,2025-07-06 19:53:14,154.138.117.180,sequencer,delete,0
user_025,2025-07-02 08:39:58,158.70.109.210,genome_db,exfiltrate,1
user_008,2025-07-01 01:09:31,93.159.170.21,sequencer,read,0
user_003,2025-07-01 22:14:22,193.239.68.134,wet_lab,read,0
user_010,2025-06-30 04:07:31,75.16.35.114,sequencer,read,0
