user_id,date,steps,heart_rate,class_attended,churned
user_0,2025-09-30,409,154,0,0
user_0,2025-09-29,3657,77,1,0
user_0,2025-09-28,11087,154,1,0
user_0,2025-09-27,1424,135,0,0
user_0,2025-09-26,488,71,0,0
user_0,2025-09-25,8279,137,0,0
user_0,2025-09-24,3257,151,0,0
user_0,2025-09-23,8928,113,0,0
user_0,2025-09-22,9654,95,1,0
user_0,2025-09-21,106,157,1,0
user_0,2025-09-20,11438,114,0,0
user_0,2025-09-19,2547,87,1,0
user_0,2025-09-18,5514,73,0,0
user_0,2025-09-17,1584,105,1,0
user_0,2025-09-16,9891,93,1,0
user_0,2025-09-15,11955,118,0,0
user_0,2025-09-14,6201,70,0,0
user_0,2025-09-13,10299,139,1,0
user_0,2025-09-12,5925,133,0,0
user_0,2025-09-11,1139,65,0,0
user_0,2025-09-10,4741,70,1,0
user_0,2025-09-09,1654,108,0,0
user_0,2025-09-08,10415,106,0,0
user_0,2025-09-07,5820,86,0,0
user_0,2025-09-06,11498,147,0,0
user_0,2025-09-05,9980,141,0,0
user_0,2025-09-04,11946,91,0,0
user_0,2025-09-03,6216,94,1,0
user_0,2025-09-02,10485,148,0,0
user_0,2025-09-01,11216,101,1,0
user_1,2025-09-30,3752,64,1,0
user_1,2025-09-29,6572,94,0,0
user_1,2025-09-28,9292,151,0,0
user_1,2025-09-27,10738,123,0,0
user_1,2025-09-26,10532,118,0,0
user_1,2025-09-25,2287,91,1,0
user_1,2025-09-24,8830,93,1,0
user_1,2025-09-23,7019,134,0,0
user_1,2025-09-22,3593,77,0,0
user_1,2025-09-21,1489,156,0,0
user_1,2025-09-20,1796,79,0,0
user_1,2025-09-19,11149,114,0,0
user_1,2025-09-18,6304,108,0,0
user_1,2025-09-17,7668,127,0,0
user_1,2025-09-16,9064,61,0,0
user_1,2025-09-15,1876,147,1,0
user_1,2025-09-14,4371,158,0,0
user_1,2025-09-13,1827,97,0,0
user_1,2025-09-12,7433,60,1,0
user_1,2025-09-11,11791,93,1,0
user_1,2025-09-10,2927,124,1,0
user_1,2025-09-09,10244,98,1,0
user_1,2025-09-08,8317,137,0,0
user_1,2025-09-07,6126,157,0,0
