user_id,date,steps,heart_rate,class_attended,churned
user_0,2025-07-15,409,154,0,0
user_0,2025-07-14,3657,77,1,0
user_0,2025-07-13,11087,154,1,0
user_0,2025-07-12,1424,135,0,0
user_0,2025-07-11,488,71,0,0
user_0,2025-07-10,8279,137,0,0
user_0,2025-07-09,3257,151,0,0
user_0,2025-07-08,8928,113,0,0
user_0,2025-07-07,9654,95,1,0
user_0,2025-07-06,106,157,1,0
user_0,2025-07-05,11438,114,0,0
user_0,2025-07-04,2547,87,1,0
user_0,2025-07-03,5514,73,0,0
user_0,2025-07-02,1584,105,1,0
user_0,2025-07-01,9891,93,1,0
user_0,2025-06-30,11955,118,0,0
user_0,2025-06-29,6201,70,0,0
user_0,2025-06-28,10299,139,1,0
user_0,2025-06-27,5925,133,0,0
user_0,2025-06-26,1139,65,0,0
user_0,2025-06-25,4741,70,1,0
user_0,2025-06-24,1654,108,0,0
user_0,2025-06-23,10415,106,0,0
user_0,2025-06-22,5820,86,0,0
user_0,2025-06-21,11498,147,0,0
user_0,2025-06-20,9980,141,0,0
user_0,2025-06-19,11946,91,0,0
user_0,2025-06-18,6216,94,1,0
user_0,2025-06-17,10485,148,0,0
user_0,2025-06-16,11216,101,1,0
user_1,2025-07-15,3752,64,1,0
user_1,2025-07-14,6572,94,0,0
user_1,2025-07-13,9292,151,0,0
user_1,2025-07-12,10738,123,0,0
user_1,2025-07-11,10532,118,0,0
user_1,2025-07-10,2287,91,1,0
user_1,2025-07-09,8830,93,1,0
user_1,2025-07-08,7019,134,0,0
user_1,2025-07-07,3593,77,0,0
user_1,2025-07-06,1489,156,0,0
user_1,2025-07-05,1796,79,0,0
user_1,2025-07-04,11149,114,0,0
user_1,2025-07-03,6304,108,0,0
user_1,2025-07-02,7668,127,0,0
user_1,2025-07-01,9064,61,0,0
user_1,2025-06-30,1876,147,1,0
user_1,2025-06-29,4371,158,0,0
user_1,2025-06-28,1827,97,0,0
user_1,2025-06-27,7433,60,1,0
user_1,2025-06-26,11791,93,1,0
user_1,2025-06-25,2927,124,1,0
user_1,2025-06-24,10244,98,1,0
user_1,2025-06-23,8317,137,0,0
user_1,2025-06-22,6126,157,0,0
user_1,2025-06-21,8689,60,0,0
user_1,2025-06-20,8005,62,0,0
user_1,2025-06-19,5947,99,0,0
user_1,2025-06-18,3946,132,1,0
user_1,2025-06-17,1403,153,0,0
user_1,2025-06-16,1133,157,0,0
user_2,2025-07-15,2702,120,0,1
user_2,2025-07-14,3878,130,0,1
user_2,2025-07-13,676,93,0,1
user_2,2025-07-12,2161,137,0,1
user_2,2025-07-11,1733,87,0,1
user_2,2025-07-10,3804,129,0,1
user_2,2025-07-09,3093,153,0,1
user_2,2025-07-08,2825,85,0,1
user_2,2025-07-07,2920,99,0,1
user_2,2025-07-06,1634,145,0,1
user_2,2025-07-05,2661,107,0,1
user_2,2025-07-04,1794,126,0,1
user_2,2025-07-03,1849,75,0,1
user_2,2025-07-02,1015,88,0,1
user_2,2025-07-01,262,103,0,1
user_2,2025-06-30,86,135,0,1
user_2,2025-06-29,2268,89,0,1
user_2,2025-06-28,2410,88,0,1
user_2,2025-06-27,29,69,0,1
user_2,2025-06-26,2899,140,0,1
user_2,2025-06-25,241,89,0,1
user_2,2025-06-24,276,64,0,1
user_2,2025-06-23,3521,102,0,1
user_2,2025-06-22,290,125,0,1
user_2,2025-06-21,974,95,0,1
user_2,2025-06-20,2740,122,0,1
user_2,2025-06-19,877,129,0,1
user_2,2025-06-18,541,152,0,1
user_2,2025-06-17,3831,133,0,1
user_2,2025-06-16,2360,120,0,1
user_3,2025-07-15,7749,112,0,0
user_3,2025-07-14,1588,144,0,0
user_3,2025-07-13,6939,112,0,0
user_3,2025-07-12,11945,66,0,0
user_3,2025-07-11,10587,72,0,0
user_3,2025-07-10,11931,103,1,0
user_3,2025-07-09,1790,91,0,0
user_3,2025-07-08,8786,117,0,0
user_3,2025-07-07,3006,95,0,0
user_3,2025-07-06,1235,116,1,0
user_3,2025-07-05,9016,72,0,0
user_3,2025-07-04,8856,61,1,0
user_3,2025-07-03,3872,81,0,0
user_3,2025-07-02,7886,87,1,0
user_3,2025-07-01,960,81,0,0
user_3,2025-06-30,6396,93,1,0
user_3,2025-06-29,7454,96,0,0
user_3,2025-06-28,11968,160,0,0
user_3,2025-06-27,11770,122,0,0
user_3,2025-06-26,4861,87,1,0
user_3,2025-06-25,9489,154,0,0
user_3,2025-06-24,5138,67,0,0
user_3,2025-06-23,7811,124,1,0
user_3,2025-06-22,8701,80,0,0
user_3,2025-06-21,8320,70,1,0
user_3,2025-06-20,1122,136,0,0
user_3,2025-06-19,3853,111,0,0
user_3,2025-06-18,9333,91,0,0
user_3,2025-06-17,651,139,0,0
user_3,2025-06-16,10770,134,0,0
user_4,2025-07-15,4272,86,0,0
user_4,2025-07-14,5147,90,0,0
user_4,2025-07-13,2144,145,0,0
user_4,2025-07-12,7491,100,1,0
user_4,2025-07-11,1188,61,0,0
user_4,2025-07-10,9224,72,0,0
user_4,2025-07-09,3492,124,0,0
user_4,2025-07-08,5718,68,1,0
user_4,2025-07-07,6054,96,0,0
user_4,2025-07-06,8900,150,0,0
user_4,2025-07-05,10714,127,0,0
user_4,2025-07-04,9086,98,1,0
user_4,2025-07-03,1697,77,0,0
user_4,2025-07-02,1753,155,0,0
user_4,2025-07-01,4462,96,0,0
user_4,2025-06-30,11757,103,0,0
user_4,2025-06-29,10391,93,0,0
user_4,2025-06-28,4114,66,0,0
user_4,2025-06-27,6939,95,0,0
user_4,2025-06-26,5464,158,0,0
user_4,2025-06-25,4291,80,1,0
